prefix,name,phonenumber,emailid,zipcode,city,state,country,status
mx.,david miller,+1-705-142-553908923,christopher12@example.net,14631,new alexandriastad,pennsylvania,samoa,False
ind.,frances murphy,264-159-9432,agreen@example.com,8984,schmidtland,connecticut,portugal,False
mrs.,rodney fisher,9130807863,matthew18@example.org,72564,candiceville,utah,fiji,False
dr.,patrick dominguez,329-290-8255175,anthonymiller@example.net,81491,south laurenland,colorado,south africa,True
miss,zachary sanchez,004-924-08139168,branditorres@example.net,58120,joshuaberg,missouri,dominican republic,False
mr.,laura zimmerman,+1-852-208-126621618,ymendoza@example.net,67176,north catherinefurt,oregon,lao people's democratic republic,False
mr.,randall underwood,202-746-3860,mayerbrian@example.org,52440,georgeton,maine,egypt,False
misc.,jose james,133-913-1863,derrickbaker@example.net,88966,fosterstad,nebraska,spain,True
dr.,richard gray,385.195.841242982,lambertcalvin@example.net,12438,north zachary,louisiana,solomon islands,False
dr.,michael adkins,657.312.4448,kayla20@example.org,81817,maloneside,oklahoma,saudi arabia,True
dr.,alice roberts,001-467-622-397525748,christopher48@example.net,90290,williamsfort,vermont,cocos (keeling) islands,True
ind.,leon luna,(646)298-3743127,rebecca75@example.com,29784,boothberg,maine,lao people's democratic republic,True
ind.,karen jones,(001)495-1971,vchang@example.org,79979,new tamaramouth,ohio,latvia,True
mr.,steven smith,001-714-029-353940986,richardwilliams@example.org,84325,longberg,rhode island,hong kong,True
miss,alicia kelly,935-361-0441,cholland@example.com,89913,port aprilmouth,new york,swaziland,True
ms.,william davis,049.159.1350,kmoody@example.net,64669,cynthiaton,kentucky,south africa,False
miss,sarah chapman,+1-994-620-88111931,rebecca93@example.com,81738,michaelchester,north carolina,morocco,True
miss,bryan rowe,923.341.41525376,fparker@example.org,37767,east miranda,kentucky,congo,False
dr.,jennifer mathis,441-908-9235108,christophergonzales@example.net,75476,huertastad,arizona,aruba,True
dr.,jacob benson,(387)085-9124,elizabethhart@example.org,87692,west susanton,delaware,brunei darussalam,False
