prefix,name,phonenumber,emailid,city,state,zipcode,country,status
ms.,julia short,+1-726-599-3324,taylorkaren@example.net,89144,coopershire,montana,croatia,False
mx.,sarah perez,597.256.12404589,meagan31@example.com,47168,andradeport,maryland,saint pierre and miquelon,False
mrs.,scott torres,814-794-088928718,uwright@example.com,84088,north jack,indiana,british virgin islands,True
mr.,linda ford,+1-617-731-998240194,camachojustin@example.org,53536,south mark,south carolina,mali,True
mx.,alexis duncan,4592748072,schmidtnathaniel@example.org,44877,vangview,utah,philippines,True
miss,christine nicholson,511.265.1804,christinaleonard@example.com,35475,donnaland,new york,saudi arabia,False
mrs.,daisy valdez,(479)107-0334504,jjacobs@example.com,45060,torreshaven,connecticut,paraguay,False
dr.,nicole martin dvm,987-086-11827583,edwardwalsh@example.net,41045,trujilloton,north dakota,christmas island,True
dr.,adrian schneider,+1-556-641-99568351,oharrison@example.com,59315,haaschester,washington,hong kong,False
ind.,jill weeks,+1-667-220-215776413,dlucas@example.org,69695,east antonio,wisconsin,dominica,False
