prefix,firstname,lastname,phonenumber,emailid,city,state,zipcode,country,status
Dr.,Darren,Gentry,+1-201-939-3226x8881,brownheidi@example.com,West Williamfurt,Arkansas,36581,Croatia,False
Miss,Joy,Lucas,(252)177-0976,lauraclark@example.org,Andrewhaven,Maine,86522,Lebanon,False
Misc.,Kevin,Kelly,+1-638-127-3367x115,lwalton@example.org,East Jeremiah,Connecticut,68834,United Kingdom,False
Dr.,John,Brown,+1-604-334-3468x338,patrickschmidt@example.org,North Karen,Illinois,86281,Lithuania,False
Dr.,Ashley,Lambert,563.242.4493x06209,ceaton@example.org,Rodrigueztown,Nebraska,28473,Israel,True
Misc.,Kimberly,Cunningham,198-772-1866x81308,stevenskimberly@example.net,Lake Veronica,New Jersey,27933,Ghana,False
Ind.,Michael,Newman,134.583.6087,christopherespinoza@example.net,Lake Henry,Montana,03277,Chile,True
Ms.,Eduardo,Watson,641.795.1599,johnnyspencer@example.org,New Sarah,Kentucky,91703,Lebanon,True
Misc.,Christopher,Oliver,+1-737-628-9031x91929,newmandana@example.net,Johnchester,New Mexico,21516,Congo,True
Mx.,Amber,Boyer,890-043-2711,davisjohn@example.com,South Patriciaview,West Virginia,68801,Bangladesh,True
