,prefix,name,phonenumber,emailid,city,state,zipcode,country,status
0,dr.,darren gentry,+1-201-939-32268881,brownheidi@example.com,west williamfurt,arkansas,36581,croatia,False
1,miss,joy lucas,(252)177-0976,lauraclark@example.org,andrewhaven,maine,86522,lebanon,False
2,misc.,kevin kelly,+1-638-127-3367115,lwalton@example.org,east jeremiah,connecticut,68834,united kingdom,False
3,dr.,john brown,+1-604-334-3468338,patrickschmidt@example.org,north karen,illinois,86281,lithuania,False
4,dr.,ashley lambert,563.242.449306209,ceaton@example.org,rodrigueztown,nebraska,28473,israel,True
5,misc.,kimberly cunningham,198-772-186681308,stevenskimberly@example.net,lake veronica,new jersey,27933,ghana,False
6,ind.,michael newman,134.583.6087,christopherespinoza@example.net,lake henry,montana,3277,chile,True
7,ms.,eduardo watson,641.795.1599,johnnyspencer@example.org,new sarah,kentucky,91703,lebanon,True
8,misc.,christopher oliver,+1-737-628-903191929,newmandana@example.net,johnchester,new mexico,21516,congo,True
9,mx.,amber boyer,890-043-2711,davisjohn@example.com,south patriciaview,west virginia,68801,bangladesh,True
10,ind.,shelley taylor,001-133-966-6368123,brittany71@example.org,mcdanielton,new hampshire,88561,anguilla,False
11,mrs.,janet bartlett,977-620-1735,nancy74@example.com,cannonside,oklahoma,76060,bermuda,False
12,dr.,amy powell,5963469670,ethanjenkins@example.org,west michelle,connecticut,19785,greece,True
13,mr.,ashlee hunt,+1-917-524-566596226,samuel15@example.org,north sabrinaton,alabama,89550,latvia,True
14,mr.,jennifer rose,650-128-27374022,catherine60@example.net,hunterton,nebraska,5249,netherlands,True
15,mrs.,lindsay adams,860.590.2234,kerrymurphy@example.com,robertton,south dakota,63687,angola,True
16,mx.,joseph taylor,(960)643-6438,reneeperez@example.com,lake jeremyfort,new mexico,24946,united kingdom,False
17,ms.,matthew james,4596203322,kadams@example.org,vanessaberg,wyoming,94883,jordan,False
18,mrs.,john tucker,108-490-3316,kelsey38@example.org,lake patricia,north carolina,69993,montserrat,True
19,dr.,barbara mitchell,001-387-522-3136090,nbrown@example.org,port tiffanymouth,maryland,59013,tonga,True
