,Prefix,Full_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
0,mrs.,tracy mahoney,885-986-22088197,harrisfaith@example.org,port cherylland,hawaii,85521,saint barthelemy,False
1,dr.,denise mahoney,+1-195-035-67685412,tamarapacheco@example.net,stephensmouth,south carolina,22942,bangladesh,False
2,mrs.,theresa johnson,(494)813-607942345,perezcody@example.net,williamborough,minnesota,69451,namibia,False
3,dr.,matthew diaz,653-012-958426035,angela91@example.net,north nicole,new jersey,99375,nicaragua,True
4,misc.,adam larsen,+1-110-384-6878158,troychaney@example.com,lake leslie,wisconsin,92048,vietnam,True
5,dr.,alexander yang,661.472.0762382,georgeburch@example.com,amandatown,oregon,3602,myanmar,True
6,misc.,joshua mitchell,(053)311-7130,michaelhart@example.net,starkmouth,minnesota,33625,sudan,True
7,ind.,jason williams,714.248.6141,barrettapril@example.com,jonestown,new york,56999,grenada,False
8,dr.,edward lynch,001-355-729-7567164,richard28@example.net,south kimberlyburgh,arizona,20520,namibia,True
9,ms.,kevin arellano,027.394.955350322,westandrea@example.net,south dominique,delaware,40771,egypt,False
