Prefix,First_Name,Last_Name,Phone Number,Email Id,City,State,Zip Code,Country,Status
Misc.,Katherine,Richardson,571.064.8339,woodronald@example.com,New Debra,Mississippi,47137,Angola,True
Misc.,Jamie,Torres,+1-393-766-7437x41431,llove@example.net,Davidmouth,Rhode Island,18136,Trinidad and Tobago,False
Misc.,Lindsey,Rodriguez,392.284.9591x201,andersonglen@example.com,Victoriaside,New Hampshire,56630,Angola,True
Mr.,Jo,Fowler,+1-200-248-6884x214,ambersullivan@example.com,Johnathanmouth,Indiana,07235,Tuvalu,True
Misc.,Joshua,Tyler,(783)882-1446x134,gilesjennifer@example.net,Bennettstad,Washington,52618,French Guiana,False
Dr.,Reginald,Lowe,302-995-1403x5376,lblair@example.org,North Justin,Massachusetts,41426,Belgium,True
Ms.,John,Stein,6372401262,mlopez@example.org,Brayshire,Rhode Island,17375,Korea,False
Misc.,Christopher,Peterson,001-222-081-9224x065,johngardner@example.com,Lake Robin,Massachusetts,52426,Jersey,False
Ms.,Tina,Adams,159-314-6141x72453,allisonflores@example.net,Port Williamstad,New Hampshire,54872,China,False
Dr.,Jessica,Kelly,693-842-1211x4179,aviladonald@example.com,Johnsstad,Indiana,10228,Kazakhstan,False
